;Formula;C;H;O;N;S;SMILE;Nome;E.F.;Calor_de_Combustão;Formação
702;C24H42O6;24;42;6;0;0;;5B-cholan-24-oic acid-3a,7a,12a-triol monohydrate;c;-3404;-288
703;C27H46O;27;46;1;0;0;OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCCC(C)C)C2(C)CC1;A5-cholestene-B3-ol (cholesterol);c;-3978;-133
704;C36H60O30 ;36;60;30;0;0;;a-tetramylose;c;-4075;-1360
705;C28H48O;28;48;1;0;0;;A5-cholestene-3B-yl methyl ether;c;-4117.1;-155.9
706;C28H48O;28;48;1;0;0;O(C)C1CC2C3CCC(C(C)CCCC(C)C)C3(C)CCC2C4(C)CCC5CC154;3:5-cyclocholestan-6B-yl methyl ether;c;-4122.8;-150.3
707;C32H36N4O2;32;36;2;4;0;;pyrroporphyrin (XV) mono-methyl ester;c;-4150.7;-88.6
708;C34H36N4O5;34;36;5;4;0;;pheopurpurin 18 mono methyl ester ;c;-4196.6;-230.8
709;C34H34N4O4;34;34;4;4;0;CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C;protoporphyrin;c;-4238.5;-120.6
710;C34H36N4O4;34;36;4;4;0;CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)OC)C)C(=C3C)CCC(=O)OC)C=C;verdoporphyrin dimethyl ester ;c;-4284.1;-143.3
711;C32H38N4 ;32;38;0;4;0;CCC1=C(C2=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1N2)C)CC)C)CC)C)CC)C;Etioporphyrin I;c;-4305.8;-1.8
712;C32H38N4 ;32;38;0;4;0;CCC1=C(C2=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1N2)CC)C)C)CC)CC)C)C;Etioporphyrin II;c;-4312;4.4
713;C33H38N4O2 ;33;38;2;4;0;;Y-phylloporphyrin mono- methyl ester ;c;-4314.4;-87.3
714;C34H36N4O3 ;34;36;3;4;0;CCC1=C(C2=NC1=CC3=C(C4=C(CC(=C5C(C(C(=CC6=NC(=C2)C(=C6C)C=C)N5)C)CCC(=O)OC)C4=N3)O)C)C;pyropheophorbide a mono-methyl ester;c;-4342.6;-84.8
715;C34H36N4O3 ;34;36;3;4;0;;phylloerythrin monomethyl ester  ;c;-4344.2;-83.2
716;C34H38N4O4;34;38;4;4;0;;rhodoporphyrin (XXI) di- methyl ester ;c;-4371.8;-123.9
717;C34H38N4O4;34;38;4;4;0;CCC1=C2C=C3C(=C(C(=CC4=NC(=CC5=NC(=CC(=C1C)N2)C(=C5C)CC)C(=C4CCC(=O)OC)C)N3)C(=O)OC)C;rhodoporphyrin (XV) dimethyl ester ;c;-4373.5;-122.2
718;C36H36N4O6;36;36;6;4;0;;methyl pheophorbide· b ;c;-4414.8;-200.7
719;C34H38N4O2;34;38;2;4;0;;desoxyphylloerythrin mono- methyl ester ;c;-4456.8;-38.9
720;C36H40N4O6;36;40;6;4;0;;chlorin P6 trim ethyl ester ;c;-4460.1;-292
721;C35H38N4O5;35;38;5;4;0;;chloroporphyrin e5 dimethyl ester ;c;-4486.5;-103.3
722;C35H40N4O4;35;40;4;4;0;;chloroporphyrin e4 dimethyl ester ;c;-4503.9;-154.2
723;C35H40N4O4;35;40;4;4;0;;chlorin e4 dimethyl ester;c;-4513.2;-144.9
724;C36H38N4O5;36;38;5;4;0;;pheoporphyrin as dimethyl ester ;c;-4519.5;-164.3
725;C36H38N4O5;36;38;5;4;0;CCC1=C(C2=NC1=CC3=C(C4=C(C(C(=C5C(C(C(=CC6=NC(=C2)C(=C6C)C=C)N5)C)CCC(=O)OC)C4=N3)C(=O)OC)O)C)C;methyl pheophorbide a ;c;-4527.7;-156.1
726;C36H38N4O4;36;38;4;4;0;CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)OC)C)C(=C3C)CCC(=O)OC)C=C;protoporphyrin dimethyl ester ;c;-4561.7;-122.1
727;C37H40N4O7;37;40;7;4;0;CCC1=C(C2=CC3=C(C(=C(N3)C=C4C(C(C(=N4)C(=C(C(=O)OC)O)C5=NC(=CC1=N2)C(=C5C(=O)OC)C)CCC(=O)OC)C)C)C=C)C;dimethyl pheopurpurin 7 ;c;-4600.4;-245.8
728;C36H42N4O4;36;42;4;4;0;CCC1=C(C2=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1N2)C)CCC(=O)OC)CCC(=O)OC)C)C)CC)C;mesoporphyrin (IX) dimethyl ester ;c;-4624.1;-196.4
729;C37H42N4O6;37;42;6;4;0;CCC1=C(C2=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C(=C5C(=C(C(=N5)C=C1N2)C)C(=O)OC)CC(=O)OC)CCC(=O)OC)C)C)CC)C;chloroporphyrin e6 trimethyl ester;c;-4684.2;-230.3
730;C37H42N4O6;37;42;6;4;0;O=C(OC)C=1C=2NC(=CC3=NC(=CC=4NC(C=C5N=C(C2CC(=O)OC)C(CCC(=O)OC)C5C)=C(C4C=C)C)C(=C3CC)C)C1C;chlorin e6 trimethyl ester ;c;-4693.1;-221.4
731;C36H46N4;36;46;0;4;0;CCC1=C(C2=CC3=NC(=CC4=C(C(=C(N4)C=C5C(=C(C(=N5)C=C1N2)CC)CC)CC)CC)C(=C3CC)CC)CC;octaethyl porphyrin ;c;-4917.2;-39.9
732;C40H46N4O8;40;46;8;4;0;CC1=C(C2=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1N2)C)CCC(=O)OC)C)CCC(=O)OC)C)CCC(=O)OC)CCC(=O)OC;coproporphyrin (I) tetra- methyl ester ;c;-4985;-348.3
733;C39H74O6 ;39;74;6;0;0;CCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;glyceryl trilaurate;c;-5707;-489
734;C48H54N4O16;48;54;16;4;0;;iso-uroporphyrin (II) oct am ethyl ester (c) ;c;-5738.9;-620.1
735;C45H86O6;45;86;6;0;0;CCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC;glyceryl trimyristate;c;-6650;-520
736;C47H88O5 ;47;88;5;0;0;;glyceryl dibrassidate;c;-6954;-472
737;C47H88O5 ;47;88;5;0;0;CCCCCCCCC=CCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCCC=CCCCCCCCC;glyceryl dierucate;c;-6979;-447
738;C69H128O6 ;69;128;6;0;0;;glyceryl tribrassidate;c;-10237;-625
739;C69H128O6 ;69;128;6;0;0;CCCCCCCCC=CCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCCCCCC=CCCCCCCCC;glyceryl trierucate;c;-10266;-596
