;Formula;C;H;O;N;S;SMILE;Nome;E.F.;Calor_de_Combustão;Formação
532;C10H11NO3;10;11;3;1;0;;benzoyl sarcosine ;c;-1180.5;-135.7
533;C8H6O;8;6;1;0;0;;n-octaldehyde ;liq;-1218.9;-80
534;C9H10N2 ;9;10;0;2;0;C1=CNC(=C1)CC2=CC=CN2;dipyrrylmethane ;c;-1219.4;31.4
535;C10H8;10;8;0;0;0;C1=CC=C2C=CC=CC2=C1;naphthalene;c;-1231.8;18
536;C12H14N4O8;12;14;8;4;0;CN1C(=O)C(C(=O)N(C1=O)C)(C2(C(=O)N(C(=O)N(C2=O)C)C)O)O;amalic acid ;c;-1239.8;-367
537;C11H12N2O4;11;12;4;2;0;C1=CC=C(C=C1)C(=O)NCC(=O)NCC(=O)O;hippurylglycine;c;-1245.92;-198.54
538;C10H8;10;8;0;0;0;C1=CC=C2C=CC=CC2=C1;naphthalene;g;-1249.4;35.6
539;C8H16;8;16;0;0;0;C1CCCCCCC1;cyclooctane;liq;-1258.35;-40.58
540;C8H17N ;8;17;0;1;0;CCCC1CCCCN1;coniine;liq;-1275.5;-57.6
541;C10H9N ;10;9;0;1;0;C1=CC=C(C=C1)N2C=CC=C2;a-phenylpyrrole ;c;-1282.4;34.5
542;C10H13NO2;10;13;2;1;0;CCOC1=CC=C(C=C1)NC(=O)C;phenacetin ;c;-1283.5;-101.1
543;C10H9N ;10;9;0;1;0;C1=CC=C(C=C1)N2C=CC=C2;N-phenylpyrrole ;c;-1286;38.1
544;C10H9N ;10;9;0;1;0;N=1C=2C=CC=CC2C=CC1C;quinaldine (a-methyl  quinoline)  ;c;-1287.2;-39
545;C10H16O3 ;10;16;3;0;0;CCCCCCC(=O)OC;methyl ethyl heptanone  lactone (racemic)  ;c;-1303.5;-183
546;C9H18O2;9;18;2;0;0;CCCCCCCCC(=O)O;pelargonic acid (nonanoic acid);liq;-1303.62;-157
547;C12H16O8 ;12;16;8;0;0;CC(=O)OC1C2COC(O2)C(C1OC(=O)C)OC(=O)C;levoglucosan triacetate;c;-1303.8;-371.3
548;C10H22O7 ;10;22;7;0;0;C(C(CO)(CO)COCC(CO)(CO)CO)O;dipentaerythritol;c;-1315.1;-376.9
549;C11H13NO3  ;11;13;3;1;0;;p-toluyl alanine ;c;-1319.6;-159
550;C9H18O2;9;18;2;0;0;CCCCCCCC(=O)OC;methyl caprylate;liq;-1320.22;-141.07
551;C12H14N4O6;12;14;6;4;0;;desoxyamalic acid ;c;-1321.1;-285.7
552;C9H19NO2;9;19;2;1;0;C(CCCCN)CCCC(=O)O;w-aminopelargonic acid ;c;-1321.4;-174
553;C11H12N2O3 ;11;12;3;2;0;C1C(=O)NC(C(=O)N1)CC2=CC=C(C=C2)O;glycyltyrosyl anhydride;c;-1321.7;-122.8
554;C11H13NO3  ;11;13;3;1;0;;o-toluyl alanine;c;-1322.1;-156.5
555;C10H19N3O4;10;19;4;3;0;CC(C)CC(C(=O)NCC(=O)NCC(=O)O)N;leucylglycylglycine;c;-1329.9;-259.6
556;C12H18O8;12;18;8;0;0;;1,2-anhydroglucose-3,5,6- triacetate;c;-1331.8;-411.7
557;C9H15N ;9;15;0;1;0;CCC1=C(NC(=C1C)C)C;phyllopyrrole (2,4,5-tri methyl-3-ethyl pyrrole)  ;c;-1338.4;-20.4
558;C12H26O13 ;12;26;13;0;0;C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O.O.O;trehalose dihydrate;c;-1340.6;-676.1
559;C11H12N2O2;11;12;2;2;0;C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N;L-tryptophane;c;-1344.6;-99.8
560;C12H24O12 ;12;24;12;0;0;C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O.O;a-lactose monohydrate;c;-1346;-602
561;C12H22O11;12;22;11;0;0;C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O;cellobiose;c;-1347.6;-532.5
562;C12H22O11;12;22;11;0;0;C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O;sucrose;c;-1348.2;-531.9
563;C12H22O11;12;22;11;0;0;C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O;trehalose;c;-1348.8;-531.3
564;C11H14N2O3;11;14;3;2;0;C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CN;glycylphenylalanine;c;-1348.8;-163.9
565;C12H22O11;12;22;11;0;0;C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O;maltose;c;-1349.3;-530.8
566;C12H22O11;12;22;11;0;0;C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O;B-lactose;c;-1350;-530.1
567;C10H16O2;10;16;2;0;0;;dehydro-B-campholeno lactone (inactive) ;c;-1350;-137
568;C10H16O2;10;16;2;0;0;;2 dehydro-B-campholeno lactone (dextrorotatory)  ;c;-1357;-130
569;C11H12N2O2 ;11;12;2;2;0;C1C(=O)NC(C(=O)N1)CC2=CC=CC=C2;glycylphenylalanyl anhydride  ;c;-1361.6;-82.9
570;C6H12N2S3 ;6;12;0;3;3;CN(C)C(=S)SC(=S)N(C)C;tetramethylthiuram mono sulfide ;c;-1417.43;-11.6
571;C10H14N2  ;10;14;0;2;0;CN1CCCC1C2=CN=CC=C2;nicotine ;liq;-1428.1;9.4
572;C10H20O2;10;20;2;0;0;CCCCCCCCCC(=O)O;capric acid (decanoic acid);c;-1453.07;-170.59
573;C12H15NO4;12;15;4;1;0;COC(=O)C(CC1=CC=CC=C1)NC(=O)OC;DL-phenylalanine-N- carboxylic acid  dimethyl ester ;c;-1456.7;-184.3
574;C12H8N2 ;12;8;0;2;0;C1=CC=C2C(=C1)N=C3C=CC=CC3=N2;phenazine ;c;-1458.3;56.4
575;C10H20O2;10;20;2;0;0;O=C(O)CCCCCCCCC;capric acid (decanoic acid);liq;-1460.1;-163.6
576;C12H9N ;12;9;0;1;0;C1=CC=C2C(=C1)C3=CC=CC=C3N2;carbazole ;c;-1466.3;30.3
577;C10H20O2;10;20;2;0;0;CCCCCCCCC(=O)OC;methyl pelargonate;liq;-1476.37;-147.29
578;C12H16N2O3;12;16;3;2;0;CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N;alanylphenylalanine;c;-1505;-170.2
579; C9H21N ;9;21;0;1;0;CCCN(CCC)CCC;tri-n-propylamine;liq;-1515.26;-49.51
580;C12H14N2O2 ;12;14;2;2;0;;alanylphenylalanyl anhydride  ;c;-1517.5;-89.3
581;C10H22O2;10;22;2;0;0;C(CCCCCO)CCCCO;1,10-decanediol;c;-1526.2;-165.78
582;C10H22O6;10;22;6;0;0;;1,2,5,6-diacetone-mannitol;c;-1530;-350
583;C12H20O6;12;20;6;0;0;;mannitol triacetal;c;-1537;-275
584;C14H20O9 ;14;20;9;0;0;;rhamnose triacetate;c;-1544.5;-455.4
585;C13H10O;13;10;1;0;0;C1=CC=C(C=C1)C(=O)C2=CC=CC=C2;benzophenone;c;-1556.2;-8
586;C6H12N2S4;6;12;0;4;4;CN(C)C(=S)SSC(=S)N(C)C;tetramethylthiuram disulfide;c;-1559.64;9.94
587;C11H20ON2O2 ;11;20;2;2;0;;valylleucyl anhydride ;c;-1567.6;-150.1
588;C14H23N3O10;14;23;10;3;0;O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC(=O)O;diethylenetriamine pentaacetic acid ;c;-1570.5;-531
589;C13H9N ;13;9;0;1;0;C1=CC=C2C(=C1)C=C3C=CC=CC3=N2;acridine;c;-1574.9;44.8
590; C13H11NO ;13;11;1;1;0;C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2;benzanilide;c;-1576.1;-22.3
591;C11H20O2;11;20;2;0;0;C=CCCCCCCCCC(=O)O;undecyl-10-ene-I-oic acid;c;-1580;-138
592;C12H18O2 ;12;18;2;0;0;; 3( e )-hydroxy-trans-decalin 2(e) acetic acid lactone;c;-1606.19;-137.26
593;C12H18O2 ;12;18;2;0;0;;3( a)-hydroxy-trans-decalin 2(a) acetic acid lactone;c;-1610.36;-133.09
594;C11H22O2;11;22;2;0;0;CCCCCCCCCC(=O)OC;methyl caprate;liq;-1632.96;-153.07
595;C12H10S ;12;10;0;0;1;C1=CC=C(C=C1)SC2=CC=CC=C2;diphenyl sulfide ;c;-1653.2;39.1
596;C14H10;14;10;0;0;0;C1=CC=C2C(=C1)C=CC3=CC=CC=C32;phenanthrene;c;-1685.6;27.3
597;C14H10;14;10;0;0;0;C1=CC=C2C=C3C=CC=CC3=CC2=C1;anthracene;c;-1687.3;29
598;C14H10;14;10;0;0;0;C1=CC=C2C(=C1)C=CC3=CC=CC=C32;phenanthrene;g;-1706.7;48.4
599;C12H26N2O4;12;26;4;2;0;;hexamethylene-l,6-diamine adipic acid adduct ;c;-1711.2;-305.5
600;C14H10;14;10;0;0;0;C1=CC=C2C=C3C=CC=CC3=CC2=C1;anthracene;g;-1712;53.7
601;C12H22N2O2 ;12;22;2;2;0;;leucine anhydride;c;-1720.1;-160
602;C16H22O11 ;16;22;11;0;0;CC(=O)OCC(C(C(C(C=O)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C;galactose pentaacetate;c;-1723.5;-532.8
603;C16H22O11 ;16;22;11;0;0;CC(=O)OCC(C(C(C(C=O)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C;glucose pentaacetate;c;-1724.2;-532.1
604;C14H19N3O4;14;19;4;3;0;CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)CN;glycylalanyl'phenylalanine;c;-1743.7;-222
